1763596800000000,91554.96000000,91557.59000000,91521.87000000,91521.88000000,17.26485000,1763596859999999,1580476.40833930,2944,2.19457000,200896.25048690,0
1763596860000000,91521.87000000,91521.87000000,91415.63000000,91416.07000000,25.44657000,1763596919999999,2327509.13473240,3745,5.08289000,464810.14544410,0
1763596920000000,91416.07000000,91425.42000000,91361.47000000,91419.05000000,18.36827000,1763596979999999,1678905.90864950,4172,7.37637000,674201.98090670,0
1763596980000000,91419.06000000,91464.00000000,91417.48000000,91429.43000000,19.83778000,1763597039999999,1813897.41605130,4231,6.24659000,571163.49582650,0
1763597040000000,91429.44000000,91483.57000000,91429.40000000,91483.56000000,5.73056000,1763597099999999,523969.36371350,2064,3.19183000,291850.61687450,0
1763597100000000,91483.57000000,91483.57000000,91299.73000000,91299.74000000,22.95410000,1763597159999999,2097598.66281010,4568,3.92367000,358444.21437200,0
1763597160000000,91299.73000000,91299.74000000,91185.26000000,91239.00000000,17.69826000,1763597219999999,1614806.33123040,4715,4.09143000,373232.08025840,0
1763597220000000,91238.99000000,91296.47000000,91235.31000000,91296.47000000,6.08097000,1763597279999999,554977.88535650,2653,2.94250000,268547.43388250,0
1763597280000000,91296.48000000,91332.86000000,91284.99000000,91329.07000000,4.55534000,1763597339999999,415913.90412070,2509,1.78934000,163365.38114600,0
1763597340000000,91329.08000000,91348.36000000,91316.01000000,91348.34000000,4.60178000,1763597399999999,420296.70430110,1507,2.00522000,183135.48292710,0
1763597400000000,91348.34000000,91348.35000000,91305.82000000,91329.66000000,6.95724000,1763597459999999,635413.80325420,2047,1.42612000,130236.84317310,0
1763597460000000,91329.66000000,91379.58000000,91329.65000000,91379.58000000,12.12319000,1763597519999999,1107350.09425600,3033,9.61470000,878221.76947640,0
1763597520000000,91379.58000000,91396.34000000,91379.58000000,91386.69000000,3.94275000,1763597579999999,360332.63882760,1343,1.37635000,125780.82549890,0
1763597580000000,91386.69000000,91443.51000000,91386.68000000,91443.51000000,5.67394000,1763597639999999,518683.85310190,1821,3.87284000,354064.72010040,0
1763597640000000,91443.50000000,91510.85000000,91418.79000000,91492.90000000,9.25451000,1763597699999999,846514.43820360,3748,5.96018000,545183.00682360,0
1763597700000000,91492.91000000,91500.95000000,91431.14000000,91466.25000000,17.85138000,1763597759999999,1632928.65283950,3933,4.46481000,408379.08002050,0
1763597760000000,91466.25000000,91533.64000000,91466.25000000,91533.64000000,7.66938000,1763597819999999,701674.54183780,2464,4.77423000,436796.02588560,0
1763597820000000,91533.63000000,91633.10000000,91532.73000000,91633.10000000,14.77628000,1763597879999999,1353306.18040700,5616,9.09749000,833206.75599640,0
1763597880000000,91633.09000000,91700.00000000,91633.09000000,91669.83000000,23.89552000,1763597939999999,2190365.22131690,6515,13.66994000,1252958.13911410,0
1763597940000000,91669.82000000,91731.46000000,91649.16000000,91710.80000000,18.76656000,1763597999999999,1720604.71318490,3673,13.49558000,1237360.32413320,0
1763598000000000,91710.80000000,91731.28000000,91661.06000000,91728.01000000,16.83686000,1763598059999999,1543714.16722620,4855,11.05445000,1013521.31283190,0
1763598060000000,91728.02000000,91771.41000000,91684.60000000,91699.96000000,18.80727000,1763598119999999,1724972.20324970,5054,11.15612000,1023216.03769170,0
1763598120000000,91699.95000000,91732.63000000,91684.19000000,91684.19000000,15.48556000,1763598179999999,1420178.92042240,2208,8.86144000,812679.09944310,0
1763598180000000,91684.20000000,91835.52000000,91655.63000000,91795.35000000,15.92595000,1763598239999999,1461308.68853620,6454,10.56708000,969677.73237320,0
1763598240000000,91795.35000000,91804.54000000,91736.08000000,91781.31000000,16.24424000,1763598299999999,1490806.48468390,4455,5.46901000,501915.78305990,0
1763598300000000,91781.30000000,91838.00000000,91781.30000000,91790.85000000,9.92269000,1763598359999999,911065.57103440,3461,7.07899000,649970.88665380,0
1763598360000000,91790.84000000,91813.42000000,91760.00000000,91813.42000000,9.17489000,1763598419999999,842030.12326530,3132,4.71151000,432386.54452380,0
1763598420000000,91813.41000000,91856.42000000,91807.01000000,91828.18000000,11.10747000,1763598479999999,1019977.18998440,3272,6.95541000,638706.28718980,0
1763598480000000,91828.18000000,91888.00000000,91817.92000000,91887.99000000,20.20391000,1763598539999999,1855376.21504780,2831,16.32104000,1498775.72566240,0
1763598540000000,91888.00000000,91898.24000000,91817.92000000,91855.18000000,16.91438000,1763598599999999,1553672.47563720,3049,7.64961000,702712.35139440,0
1763598600000000,91855.18000000,92040.15000000,91855.18000000,92040.15000000,74.15618000,1763598659999999,6820645.38924720,8830,65.47048000,6021793.98265780,0
1763598660000000,92040.16000000,92067.65000000,91959.23000000,92013.19000000,21.63561000,1763598719999999,1990690.58990030,6223,12.17505000,1120184.34597010,0
1763598720000000,92013.20000000,92052.89000000,92010.21000000,92036.37000000,7.56407000,1763598779999999,696159.72727420,2549,3.66618000,337393.01740540,0
1763598780000000,92036.36000000,92085.00000000,92005.67000000,92048.91000000,23.22876000,1763598839999999,2138126.46240080,4981,5.77552000,531650.35132400,0
1763598840000000,92048.92000000,92109.07000000,92022.25000000,92031.98000000,36.62581000,1763598899999999,3372354.35962210,5137,32.10133000,2955768.50989570,0
1763598900000000,92031.98000000,92200.00000000,92031.98000000,92200.00000000,32.85052000,1763598959999999,3027673.24724770,6351,25.78218000,2376485.95664430,0
1763598960000000,92200.00000000,92287.58000000,92192.93000000,92272.05000000,50.95961000,1763599019999999,4699894.57342800,8616,39.03161000,3599412.16364250,0
